OldName,ID,name,Read,Experiment,Mode,NewName
21017_1_S1_L999_R1_001_cutadapt.fastq,21017,1,R1,,,T0_3335_1_CTL_HW_M_G1_21017.fq
21097_2_S80_L999_R1_001_cutadapt.fastq,21097,2,R1,,,T1_3335_2_CTL_HW_M_G5_21097.fq
21057_3_S40_L999_R1_001_cutadapt.fastq,21057,3,R1,,,T2_3335_3_CTL_HW_M_G3_21057.fq
21037_4_S20_L999_R1_001_cutadapt.fastq,21037,4,R1,,,T3_3335_4_CTL_HW_M_G2_21037.fq
21077_5_S60_L999_R1_001_cutadapt.fastq,21077,5,R1,,,T4_3335_5_CTL_HW_M_G4_21077.fq
21137_6_S120_L999_R1_001_cutadapt.fastq,21137,6,R1,,,T5_3335_6_CTL_HW_M_G7_21137.fq
21038_7_S21_L999_R1_001_cutadapt.fastq,21038,7,R1,,,T6_3334_7_CM_CHW_M_G5_21038.fq
21117_8_S100_L999_R1_001_cutadapt.fastq,21117,8,R1,,,T6p5_3334_8_CM_CHW_M_G6_21117.fq
21058_9_S41_L999_R1_001_cutadapt.fastq,21058,9,R1,,,T0_3336_9_CM_CHW_F_G3_21058.fq
21078_10_S61_L999_R1_001_cutadapt.fastq,21078,10,R1,,,T1_3336_10_CM_CHW_F_G4_21078.fq
21138_11_S121_L999_R1_001_cutadapt.fastq,21138,11,R1,,,T2_3336_11_CM_CHW_F_G7_21138.fq
21098_12_S81_L999_R1_001_cutadapt.fastq,21098,12,R1,,,T3_3336_12_CM_CHW_F_G5_21098.fq
21039_14_S22_L999_R1_001_cutadapt.fastq,21039,14,R1,,,T5_3336_14_CM_CHW_F_G2_21039.fq
21118_15_S101_L999_R1_001_cutadapt.fastq,21118,15,R1,,,T6_3336_15_CM_CHW_F_G6_21118.fq
21079_16_S62_L999_R1_001_cutadapt.fastq,21079,16,R1,,,T6p5_3336_16_CM_CHW_F_G4_21079.fq
21059_17_S42_L999_R1_001_cutadapt.fastq,21059,17,R1,,,T7_3336_17_CM_CHW_F_G3_21059.fq
21099_18_S82_L999_R1_001_cutadapt.fastq,21099,18,R1,,,T8_3336_18_CM_CHW_F_G5_21099.fq
21119_19_S102_L999_R1_001_cutadapt.fastq,21119,19,R1,,,T0_3338_19_CM_CHW_F_G6_21119.fq
21139_20_S122_L999_R1_001_cutadapt.fastq,21139,20,R1,,,T1_3338_20_CM_CHW_F_G7_21139.fq
21060_21_S43_L999_R1_001_cutadapt.fastq,21060,21,R1,,,T2_3338_21_CM_CHW_F_G3_21060.fq
21080_22_S63_L999_R1_001_cutadapt.fastq,21080,22,R1,,,T3_3338_22_CM_CHW_F_G4_21080.fq
21019_23_S2_L999_R1_001_cutadapt.fastq,21019,23,R1,,,T4_3338_23_CM_CHW_F_G1_21019.fq
21040_24_S23_L999_R1_001_cutadapt.fastq,21040,24,R1,,,T0_3341_24_CM_CHW_F_G2_21040.fq
21100_25_S83_L999_R1_001_cutadapt.fastq,21100,25,R1,,,T1_3341_25_CM_CHW_F_G5_21100.fq
21020_26_S3_L999_R1_001_cutadapt.fastq,21020,26,R1,,,T2_3341_26_CM_CHW_F_G1_21020.fq
21081_27_S64_L999_R1_001_cutadapt.fastq,21081,27,R1,,,T3_3341_27_CM_CHW_F_G4_21081.fq
21041_28_S24_L999_R1_001_cutadapt.fastq,21041,28,R1,,,T4_3341_28_CM_CHW_F_G2_21041.fq
21061_29_S44_L999_R1_001_cutadapt.fastq,21061,29,R1,,,T5_3341_29_CM_CHW_F_G3_21061.fq
21062_31_S45_L999_R1_001_cutadapt.fastq,21062,31,R1,,,T6_3341_31_CM_CHW_F_G3_21062.fq
21120_32_S103_L999_R1_001_cutadapt.fastq,21120,32,R1,,,T0_3357_32_CM_CHW_F_G6_21120.fq
21082_33_S65_L999_R1_001_cutadapt.fastq,21082,33,R1,,,T1_3357_33_CM_CHW_F_G4_21082.fq
21042_34_S25_L999_R1_001_cutadapt.fastq,21042,34,R1,,,T2_3357_34_CM_CHW_F_G2_21042.fq
21101_35_S84_L999_R1_001_cutadapt.fastq,21101,35,R1,,,T3_3357_35_CM_CHW_F_G5_21101.fq
21021_36_S4_L999_R1_001_cutadapt.fastq,21021,36,R1,,,T4_3357_36_CM_CHW_F_G1_21021.fq
21121_37_S104_L999_R1_001_cutadapt.fastq,21121,37,R1,,,T5_3357_37_CM_CHW_F_G6_21121.fq
21043_38_S26_L999_R1_001_cutadapt.fastq,21043,38,R1,,,T5p5_3357_38_CM_CHW_F_G2_21043.fq
21063_39_S46_L999_R1_001_cutadapt.fastq,21063,39,R1,,,T6_3357_39_CM_CHW_F_G3_21063.fq
21083_40_S66_L999_R1_001_cutadapt.fastq,21083,40,R1,,,T6p5_3357_40_CM_CHW_F_G4_21083.fq
21022_41_S5_L999_R1_001_cutadapt.fastq,21022,41,R1,,,T7_3357_41_CM_CHW_F_G1_21022.fq
21140_42_S123_L999_R1_001_cutadapt.fastq,21140,42,R1,,,T8_3357_42_CM_CHW_F_G7_21140.fq
21102_43_S85_L999_R1_001_cutadapt.fastq,21102,43,R1,,,T0_3368_43_CM_CHW_M_G5_21102.fq
21064_44_S47_L999_R1_001_cutadapt.fastq,21064,44,R1,,,T1_3368_44_CM_CHW_M_G3_21064.fq
21023_45_S6_L999_R1_001_cutadapt.fastq,21023,45,R1,,,T2_3368_45_CM_CHW_M_G1_21023.fq
21103_46_S86_L999_R1_001_cutadapt.fastq,21103,46,R1,,,T3_3368_46_CM_CHW_M_G5_21103.fq
21044_47_S27_L999_R1_001_cutadapt.fastq,21044,47,R1,,,T4_3368_47_CM_CHW_M_G2_21044.fq
21142_48_S125_L999_R1_001_cutadapt.fastq,21142,48,R1,,,T5_3368_48_CM_CHW_M_G7_21142.fq
21122_49_S105_L999_R1_001_cutadapt.fastq,21122,49,R1,,,T6_3368_49_CM_CHW_M_G6_21122.fq
21141_50_S124_L999_R1_001_cutadapt.fastq,21141,50,R1,,,T7_3368_50_CM_CHW_M_G7_21141.fq
21084_51_S67_L999_R1_001_cutadapt.fastq,21084,51,R1,,,T8_3368_51_CM_CHW_M_G4_21084.fq
21024_52_S7_L999_R1_001_cutadapt.fastq,21024,52,R1,,,T9_3368_52_CM_CHW_M_G1_21024.fq
21123_53_S106_L999_R1_001_cutadapt.fastq,21123,53,R1,,,T10_3368_53_CM_CHW_M_G6_21123.fq
21143_54_S126_L999_R1_001_cutadapt.fastq,21143,54,R1,,,T0_3370_54_CM_CHW_M_G7_21143.fq
21104_55_S87_L999_R1_001_cutadapt.fastq,21104,55,R1,,,T1_3370_55_CM_CHW_M_G5_21104.fq
21045_56_S28_L999_R1_001_cutadapt.fastq,21045,56,R1,,,T2_3370_56_CM_CHW_M_G2_21045.fq
21085_57_S68_L999_R1_001_cutadapt.fastq,21085,57,R1,,,T3_3370_57_CM_CHW_M_G4_21085.fq
21124_58_S107_L999_R1_001_cutadapt.fastq,21124,58,R1,,,T4_3370_58_CM_CHW_M_G6_21124.fq
21025_59_S8_L999_R1_001_cutadapt.fastq,21025,59,R1,,,T5_3370_59_CM_CHW_M_G1_21025.fq
21105_60_S88_L999_R1_001_cutadapt.fastq,21105,60,R1,,,T6_3370_60_CM_CHW_M_G5_21105.fq
21125_61_S108_L999_R1_001_cutadapt.fastq,21125,61,R1,,,T7_3370_61_CM_CHW_M_G6_21125.fq
21144_62_S127_L999_R1_001_cutadapt.fastq,21144,62,R1,,,T8_3370_62_CM_CHW_M_G7_21144.fq
21065_63_S48_L999_R1_001_cutadapt.fastq,21065,63,R1,,,T9_3370_63_CM_CHW_M_G3_21065.fq
21026_64_S9_L999_R1_001_cutadapt.fastq,21026,64,R1,,,T0_3339_64_CTL_CW_M_G1_21026.fq
21106_65_S89_L999_R1_001_cutadapt.fastq,21106,65,R1,,,T1_3339_65_CTL_CW_M_G5_21106.fq
21145_66_S128_L999_R1_001_cutadapt.fastq,21145,66,R1,,,T2_3339_66_CTL_CW_M_G7_21145.fq
21066_67_S49_L999_R1_001_cutadapt.fastq,21066,67,R1,,,T3_3339_67_CTL_CW_M_G3_21066.fq
21086_68_S69_L999_R1_001_cutadapt.fastq,21086,68,R1,,,T4_3339_68_CTL_CW_M_G4_21086.fq
21027_69_S10_L999_R1_001_cutadapt.fastq,21027,69,R1,,,T5_3339_69_CTL_CW_M_G1_21027.fq
21146_70_S129_L999_R1_001_cutadapt.fastq,21146,70,R1,,,T6_3339_70_CTL_CW_M_G7_21146.fq
21126_71_S109_L999_R1_001_cutadapt.fastq,21126,71,R1,,,T7_3339_71_CTL_CW_M_G6_21126.fq
21046_72_S29_L999_R1_001_cutadapt.fastq,21046,72,R1,,,T8_3339_72_CTL_CW_M_G2_21046.fq
21067_73_S50_L999_R1_001_cutadapt.fastq,21067,73,R1,,,T9_3339_73_CTL_CW_M_G3_21067.fq
21107_74_S90_L999_R1_001_cutadapt.fastq,21107,74,R1,,,T10_3339_74_CTL_CW_M_G5_21107.fq
21108_75_S91_L999_R1_001_cutadapt.fastq,21108,75,R1,,,T0_3342_75_CTL_CW_M_G5_21108.fq
