gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
0610007P14Rik,0.613,0.566,0.307,0.367,0.227,0.362,0.642,0.682,0.292,0.418,0.249,0.325,1.973,0.265
0610009B22Rik,0.591,0.78,0.338,0.334,0.242,0.489,0.447,0.338,0.077,0.427,0.273,0.479,0.647,0.341
0610009L18Rik,0.037,0.127,0.038,0.044,0.065,0.089,0.126,0.109,0.171,0.12,0.049,0.19,0.147,0.643
0610009O20Rik,0.42,0.279,0.455,0.363,0.407,0.208,0.146,0.196,0.198,0.235,0.133,0.446,0.373,0.566
0610010F05Rik,0.226,0.115,0.153,0.15,0.103,0.251,0.09,0.112,0.038,0.212,0.043,0.105,0.117,0
0610010K14Rik,0.944,0.295,0.719,1.108,0.997,0.483,0.49,0.283,0.19,0.456,0.131,0.35,0.536,0.683
0610011F06Rik,0.158,0.275,0.119,0.163,0.185,0.335,0.198,0.276,0.432,0.278,0.266,0.264,0.391,0.129
0610012D04Rik,0,0.001,0,0,0,0.003,0.003,0.001,0,0.002,0.002,0,0,0
0610012G03Rik,1.029,1.331,1.574,1.584,1.168,1.167,1.041,0.967,0.523,1.156,0.73,0.924,0.621,0.245
0610025J13Rik,0,0.001,0,0.001,0,0.006,0.001,0,0,0,0,0,0,0
0610030E20Rik,0.236,0.224,0.26,0.274,0.191,0.245,0.517,0.393,0.465,0.271,0.11,0.53,0.257,0
0610033M10Rik,0,0.001,0,0.004,0.026,0,0.001,0.003,0,0.003,0.008,0,0,0
0610037L13Rik,0.463,0.565,0.63,0.62,0.524,0.517,0.544,0.541,0.691,0.575,0.597,0.385,0.754,0.994
0610038B21Rik,0.021,0.01,0,0.003,0.004,0.007,0.01,0.01,0,0.011,0.004,0,0,0
0610039K10Rik,0,0.004,0.008,0.008,0.009,0.001,0.01,0.007,0.011,0.003,0.002,0.009,0,0
0610040B10Rik,0.147,0.045,0.067,0.064,0.053,0.03,0.043,0.041,0.05,0.027,0.03,0.013,0.037,0.084
0610040F04Rik,0,0.005,0,0.003,0,0.002,0.001,0,0,0,0,0,0,0
0610040J01Rik,0.007,0.002,0,0,0.001,0.01,0,0,0,0.007,0,0,0,0
0610043K17Rik,0,0.023,0.006,0.011,0.013,0.023,0.014,0.007,0.016,0.012,0.001,0,0,0
1010001B22Rik,0,0.019,0.025,0.007,0.013,0.009,0.013,0.007,0.032,0.018,0.009,0.007,0.089,0
1110001J03Rik,0.718,0.746,1.015,0.57,0.488,0.941,0.911,0.751,1.011,0.719,0.438,1.378,0.966,1.843
1110002E22Rik,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
1110002J07Rik,0,0.002,0,0.004,0,0,0,0,0,0,0.001,0,0,0
1110002L01Rik,0.056,0.078,0.035,0.046,0.03,0.052,0.027,0.04,0.038,0.043,0.021,0.013,0.082,0
1110002O04Rik,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0
