sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
293T_Ctrl,EGAN00001503897,SAMEA103909713,EGAR00001539379,EGAX00001495572,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_Ctrl,EGAN00001503897,SAMEA103909713,EGAR00001539380,EGAX00001495573,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_Mut1,EGAN00001503898,SAMEA103909714,EGAR00001539381,EGAX00001495574,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_Mut1,EGAN00001503898,SAMEA103909714,EGAR00001539382,EGAX00001495575,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_Mut2,EGAN00001503899,SAMEA103909715,EGAR00001539383,EGAX00001495576,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_Mut2,EGAN00001503899,SAMEA103909715,EGAR00001539384,EGAX00001495577,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_Mut3,EGAN00001503900,SAMEA103909716,EGAR00001539385,EGAX00001495578,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_Mut3,EGAN00001503900,SAMEA103909716,EGAR00001539386,EGAX00001495579,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_WT1,EGAN00001503901,SAMEA103909717,EGAR00001559980,EGAX00001515848,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_WT1,EGAN00001503901,SAMEA103909717,EGAR00001559981,EGAX00001515849,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_WT2,EGAN00001503902,SAMEA103909718,EGAR00001559982,EGAX00001515850,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_WT2,EGAN00001503902,SAMEA103909718,EGAR00001559983,EGAX00001515851,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_WT3,EGAN00001503903,SAMEA103909719,EGAR00001559984,EGAX00001515852,EGAS00001002346,ENA-CHECKLIST=ERC000026
293T_WT3,EGAN00001503903,SAMEA103909719,EGAR00001559985,EGAX00001515853,EGAS00001002346,ENA-CHECKLIST=ERC000026
normal1,EGAN00001504157,SAMEA103909973,EGAR00001539946,EGAX00001496139,EGAS00001002346,ENA-CHECKLIST=ERC000026
normal2,EGAN00001504158,SAMEA103909974,EGAR00001539947,EGAX00001496140,EGAS00001002346,ENA-CHECKLIST=ERC000026
normal3,EGAN00001504159,SAMEA103909975,EGAR00001539948,EGAX00001496141,EGAS00001002346,ENA-CHECKLIST=ERC000026
normal4,EGAN00001504160,SAMEA103909976,EGAR00001539949,EGAX00001496142,EGAS00001002346,ENA-CHECKLIST=ERC000026
normal5,EGAN00001504161,SAMEA103909977,EGAR00001539950,EGAX00001496143,EGAS00001002346,ENA-CHECKLIST=ERC000026
normal6,EGAN00001504162,SAMEA103909978,EGAR00001539951,EGAX00001496144,EGAS00001002346,ENA-CHECKLIST=ERC000026
PV10001,EGAN00001503904,SAMEA103909720,EGAR00001539393,EGAX00001495586,EGAS00001002346,ENA-CHECKLIST=ERC000026
PV10001,EGAN00001503904,SAMEA103909720,EGAR00001539394,EGAX00001495587,EGAS00001002346,ENA-CHECKLIST=ERC000026
PV1009,EGAN00001503905,SAMEA103909721,EGAR00001539395,EGAX00001495588,EGAS00001002346,ENA-CHECKLIST=ERC000026
PV1009,EGAN00001503905,SAMEA103909721,EGAR00001539396,EGAX00001495589,EGAS00001002346,ENA-CHECKLIST=ERC000026
PV1009,EGAN00001503905,SAMEA103909721,EGAR00001539397,EGAX00001495590,EGAS00001002346,ENA-CHECKLIST=ERC000026
