accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00001539379,bam,,EGAN00001503897,EGAX00001495572,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539380,bam,,EGAN00001503897,EGAX00001495573,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539381,bam,,EGAN00001503898,EGAX00001495574,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539382,bam,,EGAN00001503898,EGAX00001495575,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539383,bam,,EGAN00001503899,EGAX00001495576,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539384,bam,,EGAN00001503899,EGAX00001495577,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539385,bam,,EGAN00001503900,EGAX00001495578,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539386,bam,,EGAN00001503900,EGAX00001495579,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539393,bam,,EGAN00001503904,EGAX00001495586,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539394,bam,,EGAN00001503904,EGAX00001495587,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539395,bam,,EGAN00001503905,EGAX00001495588,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539396,bam,,EGAN00001503905,EGAX00001495589,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539397,bam,,EGAN00001503905,EGAX00001495590,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539398,bam,,EGAN00001503906,EGAX00001495591,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539399,bam,,EGAN00001503906,EGAX00001495592,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539400,bam,,EGAN00001503907,EGAX00001495593,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539401,bam,,EGAN00001503907,EGAX00001495594,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539402,bam,,EGAN00001503908,EGAX00001495595,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539403,bam,,EGAN00001503908,EGAX00001495596,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539404,bam,,EGAN00001503909,EGAX00001495597,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539405,bam,,EGAN00001503909,EGAX00001495598,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539406,bam,,EGAN00001503910,EGAX00001495599,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:10+02
EGAR00001539407,bam,,EGAN00001503910,EGAX00001495600,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539408,bam,,EGAN00001503910,EGAX00001495601,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539409,bam,,EGAN00001503911,EGAX00001495602,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539410,bam,,EGAN00001503911,EGAX00001495603,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539411,bam,,EGAN00001503911,EGAX00001495604,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539412,bam,,EGAN00001503912,EGAX00001495605,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539413,bam,,EGAN00001503912,EGAX00001495606,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539414,bam,,EGAN00001503913,EGAX00001495607,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539415,bam,,EGAN00001503913,EGAX00001495608,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539416,bam,,EGAN00001503913,EGAX00001495609,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539417,bam,,EGAN00001503914,EGAX00001495610,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539418,bam,,EGAN00001503914,EGAX00001495611,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539419,bam,,EGAN00001503915,EGAX00001495612,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539420,bam,,EGAN00001503916,EGAX00001495613,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539421,bam,,EGAN00001503916,EGAX00001495614,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539422,bam,,EGAN00001503916,EGAX00001495615,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539423,bam,,EGAN00001503916,EGAX00001495616,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539424,bam,,EGAN00001503917,EGAX00001495617,EGA00001326246,2017-03-11 14:01:28+01,2021-10-07 16:16:11+02
EGAR00001539425,bam,,EGAN00001503917,EGAX00001495618,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539426,bam,,EGAN00001503918,EGAX00001495619,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539427,bam,,EGAN00001503918,EGAX00001495620,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539428,bam,,EGAN00001503918,EGAX00001495621,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539429,bam,,EGAN00001503919,EGAX00001495622,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539430,bam,,EGAN00001503919,EGAX00001495623,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539431,bam,,EGAN00001503919,EGAX00001495624,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539432,bam,,EGAN00001503920,EGAX00001495625,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539433,bam,,EGAN00001503920,EGAX00001495626,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539434,bam,,EGAN00001503921,EGAX00001495627,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539435,bam,,EGAN00001503921,EGAX00001495628,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539436,bam,,EGAN00001503921,EGAX00001495629,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539437,bam,,EGAN00001503922,EGAX00001495630,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539438,bam,,EGAN00001503922,EGAX00001495631,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539439,bam,,EGAN00001503922,EGAX00001495632,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539440,bam,,EGAN00001503922,EGAX00001495633,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539441,bam,,EGAN00001503923,EGAX00001495634,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539442,bam,,EGAN00001503923,EGAX00001495635,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539443,bam,,EGAN00001503924,EGAX00001495636,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539444,bam,,EGAN00001503924,EGAX00001495637,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539445,bam,,EGAN00001503925,EGAX00001495638,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539446,bam,,EGAN00001503925,EGAX00001495639,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539447,bam,,EGAN00001503926,EGAX00001495640,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539448,bam,,EGAN00001503926,EGAX00001495641,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539449,bam,,EGAN00001503927,EGAX00001495642,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539450,bam,,EGAN00001503927,EGAX00001495643,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539451,bam,,EGAN00001503928,EGAX00001495644,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539452,bam,,EGAN00001503928,EGAX00001495645,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539453,bam,,EGAN00001503928,EGAX00001495646,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539455,bam,,EGAN00001503929,EGAX00001495648,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539456,bam,,EGAN00001503929,EGAX00001495649,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539457,bam,,EGAN00001503930,EGAX00001495650,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539458,bam,,EGAN00001503930,EGAX00001495651,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539460,bam,,EGAN00001503931,EGAX00001495653,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539461,bam,,EGAN00001503931,EGAX00001495654,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539463,bam,,EGAN00001503932,EGAX00001495656,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539465,bam,,EGAN00001503933,EGAX00001495658,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539467,bam,,EGAN00001503934,EGAX00001495660,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539468,bam,,EGAN00001503935,EGAX00001495661,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539469,bam,,EGAN00001503935,EGAX00001495662,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539471,bam,,EGAN00001503936,EGAX00001495664,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539472,bam,,EGAN00001503937,EGAX00001495665,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539474,bam,,EGAN00001503938,EGAX00001495667,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539475,bam,,EGAN00001503938,EGAX00001495668,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:11+02
EGAR00001539477,bam,,EGAN00001503939,EGAX00001495670,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:10+02
EGAR00001539479,bam,,EGAN00001503940,EGAX00001495672,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:10+02
EGAR00001539480,bam,,EGAN00001503941,EGAX00001495673,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:10+02
EGAR00001539481,bam,,EGAN00001503941,EGAX00001495674,EGA00001326246,2017-03-11 14:01:29+01,2021-10-07 16:16:10+02
