sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001503897,293T_Ctrl,293T_Ctrl_CHX.bam,EGAF00001577895
EGAN00001503897,293T_Ctrl,293T_Ctrl_None.bam,EGAF00001577896
EGAN00001503897,293T_Ctrl,293T_Ctrl_CHX.bam,EGAF00001654029
EGAN00001503897,293T_Ctrl,293T_Ctrl_None.bam,EGAF00001654030
EGAN00001503897,293T_Ctrl,293T_Ctrl_CHX.bam,EGAF00001654699
EGAN00001503897,293T_Ctrl,293T_Ctrl_None.bam,EGAF00001654700
EGAN00001503898,293T_Mut1,293T_Mut1_CHX.bam,EGAF00001577897
EGAN00001503898,293T_Mut1,293T_Mut1_None.bam,EGAF00001577898
EGAN00001503898,293T_Mut1,293T_Mut1_CHX.bam,EGAF00001654031
EGAN00001503898,293T_Mut1,293T_Mut1_None.bam,EGAF00001654032
EGAN00001503898,293T_Mut1,293T_Mut1_CHX.bam,EGAF00001654701
EGAN00001503898,293T_Mut1,293T_Mut1_None.bam,EGAF00001654817
EGAN00001503899,293T_Mut2,293T_Mut2_CHX.bam,EGAF00001577899
EGAN00001503899,293T_Mut2,293T_Mut2_None.bam,EGAF00001577946
EGAN00001503899,293T_Mut2,293T_Mut2_CHX.bam,EGAF00001654033
EGAN00001503899,293T_Mut2,293T_Mut2_None.bam,EGAF00001654034
EGAN00001503899,293T_Mut2,293T_Mut2_CHX.bam,EGAF00001654818
EGAN00001503899,293T_Mut2,293T_Mut2_None.bam,EGAF00001654819
EGAN00001503900,293T_Mut3,293T_Mut3_CHX.bam,EGAF00001577947
EGAN00001503900,293T_Mut3,293T_Mut3_None.bam,EGAF00001577948
EGAN00001503900,293T_Mut3,293T_Mut3_None.bam,EGAF00001622103
EGAN00001503900,293T_Mut3,293T_Mut3_None.bam,EGAF00001622127
EGAN00001503900,293T_Mut3,293T_Mut3_CHX.bam,EGAF00001654035
EGAN00001503900,293T_Mut3,293T_Mut3_None.bam,EGAF00001654036
EGAN00001503900,293T_Mut3,293T_Mut3_CHX.bam,EGAF00001654820
EGAN00001503900,293T_Mut3,293T_Mut3_None.bam,EGAF00001654821
EGAN00001503900,293T_Mut3,293T_Mut3_None.bam,EGAF00001681688
EGAN00001503901,293T_WT1,293T_WT1_CHX.bam,EGAF00001577949
EGAN00001503901,293T_WT1,293T_WT1_None.bam,EGAF00001577950
EGAN00001503901,293T_WT1,293T_WT1_CHX.bam,EGAF00001622104
EGAN00001503901,293T_WT1,293T_WT1_None.bam,EGAF00001622105
EGAN00001503901,293T_WT1,293T_WT1_CHX.bam,EGAF00001622128
EGAN00001503901,293T_WT1,293T_WT1_None.bam,EGAF00001622129
EGAN00001503901,293T_WT1,293T_WT1_CHX.bam,EGAF00001654037
EGAN00001503901,293T_WT1,293T_WT1_None.bam,EGAF00001654038
EGAN00001503901,293T_WT1,293T_WT1_CHX.bam,EGAF00001654822
EGAN00001503901,293T_WT1,293T_WT1_None.bam,EGAF00001654823
EGAN00001503901,293T_WT1,293T_WT1_CHX.bam,EGAF00001681689
EGAN00001503901,293T_WT1,293T_WT1_None.bam,EGAF00001681690
EGAN00001503902,293T_WT2,293T_WT2_CHX.bam,EGAF00001577951
EGAN00001503902,293T_WT2,293T_WT2_None.bam,EGAF00001577952
EGAN00001503902,293T_WT2,293T_WT2_CHX.bam,EGAF00001622106
EGAN00001503902,293T_WT2,293T_WT2_None.bam,EGAF00001622107
EGAN00001503902,293T_WT2,293T_WT2_CHX.bam,EGAF00001622130
EGAN00001503902,293T_WT2,293T_WT2_None.bam,EGAF00001622131
EGAN00001503902,293T_WT2,293T_WT2_CHX.bam,EGAF00001654039
EGAN00001503902,293T_WT2,293T_WT2_None.bam,EGAF00001654040
EGAN00001503902,293T_WT2,293T_WT2_CHX.bam,EGAF00001654824
EGAN00001503902,293T_WT2,293T_WT2_None.bam,EGAF00001654825
EGAN00001503902,293T_WT2,293T_WT2_CHX.bam,EGAF00001681691
EGAN00001503902,293T_WT2,293T_WT2_None.bam,EGAF00001681692
EGAN00001503903,293T_WT3,293T_WT3_CHX.bam,EGAF00001577953
EGAN00001503903,293T_WT3,293T_WT3_None.bam,EGAF00001577954
EGAN00001503903,293T_WT3,293T_WT3_CHX.bam,EGAF00001622108
EGAN00001503903,293T_WT3,293T_WT3_None.bam,EGAF00001622109
EGAN00001503903,293T_WT3,293T_WT3_CHX.bam,EGAF00001622132
EGAN00001503903,293T_WT3,293T_WT3_None.bam,EGAF00001622133
EGAN00001503903,293T_WT3,293T_WT3_CHX.bam,EGAF00001654041
EGAN00001503903,293T_WT3,293T_WT3_None.bam,EGAF00001654042
EGAN00001503903,293T_WT3,293T_WT3_CHX.bam,EGAF00001654826
EGAN00001503903,293T_WT3,293T_WT3_None.bam,EGAF00001654827
EGAN00001503903,293T_WT3,293T_WT3_CHX.bam,EGAF00001681693
EGAN00001503903,293T_WT3,293T_WT3_None.bam,EGAF00001681694
EGAN00001503904,PV10001,PV10001_CD34.bam,EGAF00001577955
EGAN00001503904,PV10001,PV10001_DNA.bam,EGAF00001577956
EGAN00001503904,PV10001,PV10001_CD34.bam,EGAF00001654043
EGAN00001503904,PV10001,PV10001_DNA.bam,EGAF00001654044
EGAN00001503904,PV10001,PV10001_CD34.bam,EGAF00001654828
EGAN00001503904,PV10001,PV10001_DNA.bam,EGAF00001654829
EGAN00001503905,PV1009,PV1009_BMMNC.bam,EGAF00001577957
EGAN00001503905,PV1009,PV1009_CD34.bam,EGAF00001577958
EGAN00001503905,PV1009,PV1009_DNA.bam,EGAF00001577959
EGAN00001503905,PV1009,PV1009_BMMNC.bam,EGAF00001654045
EGAN00001503905,PV1009,PV1009_CD34.bam,EGAF00001654046
EGAN00001503905,PV1009,PV1009_DNA.bam,EGAF00001654047
EGAN00001503905,PV1009,PV1009_BMMNC.bam,EGAF00001654830
EGAN00001503905,PV1009,PV1009_CD34.bam,EGAF00001654831
EGAN00001503905,PV1009,PV1009_DNA.bam,EGAF00001654832
EGAN00001503906,PV1010,PV1010_day14.bam,EGAF00001577960
EGAN00001503906,PV1010,PV1010_day7.bam,EGAF00001577961
EGAN00001503906,PV1010,PV1010_day14.bam,EGAF00001654048
EGAN00001503906,PV1010,PV1010_day7.bam,EGAF00001654049
EGAN00001503906,PV1010,PV1010_day14.bam,EGAF00001654833
EGAN00001503906,PV1010,PV1010_day7.bam,EGAF00001654834
EGAN00001503907,PV1015,PV1015_BMMNC.bam,EGAF00001577962
EGAN00001503907,PV1015,PV1015_DNA.bam,EGAF00001577963
EGAN00001503907,PV1015,PV1015_BMMNC.bam,EGAF00001654050
EGAN00001503907,PV1015,PV1015_DNA.bam,EGAF00001654051
EGAN00001503907,PV1015,PV1015_BMMNC.bam,EGAF00001654835
EGAN00001503907,PV1015,PV1015_DNA.bam,EGAF00001654836
EGAN00001503908,PV1016,PV1016_BMMNC.bam,EGAF00001577964
EGAN00001503908,PV1016,PV1016_DNA.bam,EGAF00001577965
EGAN00001503908,PV1016,PV1016_BMMNC.bam,EGAF00001654075
EGAN00001503908,PV1016,PV1016_DNA.bam,EGAF00001654076
EGAN00001503908,PV1016,PV1016_BMMNC.bam,EGAF00001654837
EGAN00001503908,PV1016,PV1016_DNA.bam,EGAF00001654838
EGAN00001503909,PV1020,PV1020_BMMNC.bam,EGAF00001577966
EGAN00001503909,PV1020,PV1020_DNA.bam,EGAF00001577967
EGAN00001503909,PV1020,PV1020_BMMNC.bam,EGAF00001654077
EGAN00001503909,PV1020,PV1020_DNA.bam,EGAF00001654078
EGAN00001503909,PV1020,PV1020_BMMNC.bam,EGAF00001654839
EGAN00001503909,PV1020,PV1020_DNA.bam,EGAF00001654955
EGAN00001503910,PV1022,PV1022_BMMNC.bam,EGAF00001577968
EGAN00001503910,PV1022,PV1022_CD34.bam,EGAF00001577995
EGAN00001503910,PV1022,PV1022_DNA.bam,EGAF00001577996
EGAN00001503910,PV1022,PV1022_BMMNC.bam,EGAF00001654079
EGAN00001503910,PV1022,PV1022_CD34.bam,EGAF00001654080
EGAN00001503910,PV1022,PV1022_DNA.bam,EGAF00001654081
EGAN00001503910,PV1022,PV1022_BMMNC.bam,EGAF00001654956
EGAN00001503910,PV1022,PV1022_CD34.bam,EGAF00001654957
EGAN00001503910,PV1022,PV1022_DNA.bam,EGAF00001654958
EGAN00001503911,PV1035,PV1035_BMMNC.bam,EGAF00001577997
EGAN00001503911,PV1035,PV1035_CD34.bam,EGAF00001577998
