study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495572,EGAR00001539379,EGAN00001503897,293T_Ctrl,SAMEA103909713,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495573,EGAR00001539380,EGAN00001503897,293T_Ctrl,SAMEA103909713,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495574,EGAR00001539381,EGAN00001503898,293T_Mut1,SAMEA103909714,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495575,EGAR00001539382,EGAN00001503898,293T_Mut1,SAMEA103909714,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495576,EGAR00001539383,EGAN00001503899,293T_Mut2,SAMEA103909715,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495577,EGAR00001539384,EGAN00001503899,293T_Mut2,SAMEA103909715,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495578,EGAR00001539385,EGAN00001503900,293T_Mut3,SAMEA103909716,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495579,EGAR00001539386,EGAN00001503900,293T_Mut3,SAMEA103909716,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495586,EGAR00001539393,EGAN00001503904,PV10001,SAMEA103909720,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495587,EGAR00001539394,EGAN00001503904,PV10001,SAMEA103909720,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495588,EGAR00001539395,EGAN00001503905,PV1009,SAMEA103909721,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495589,EGAR00001539396,EGAN00001503905,PV1009,SAMEA103909721,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495590,EGAR00001539397,EGAN00001503905,PV1009,SAMEA103909721,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495591,EGAR00001539398,EGAN00001503906,PV1010,SAMEA103909722,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495592,EGAR00001539399,EGAN00001503906,PV1010,SAMEA103909722,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495593,EGAR00001539400,EGAN00001503907,PV1015,SAMEA103909723,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495594,EGAR00001539401,EGAN00001503907,PV1015,SAMEA103909723,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495595,EGAR00001539402,EGAN00001503908,PV1016,SAMEA103909724,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495596,EGAR00001539403,EGAN00001503908,PV1016,SAMEA103909724,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495597,EGAR00001539404,EGAN00001503909,PV1020,SAMEA103909725,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495598,EGAR00001539405,EGAN00001503909,PV1020,SAMEA103909725,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495599,EGAR00001539406,EGAN00001503910,PV1022,SAMEA103909726,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495600,EGAR00001539407,EGAN00001503910,PV1022,SAMEA103909726,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495601,EGAR00001539408,EGAN00001503910,PV1022,SAMEA103909726,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495602,EGAR00001539409,EGAN00001503911,PV1035,SAMEA103909727,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495603,EGAR00001539410,EGAN00001503911,PV1035,SAMEA103909727,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495604,EGAR00001539411,EGAN00001503911,PV1035,SAMEA103909727,Patients with myelodysplasia
