mouse_id,T0,T1,T2,T3,T4,T5,T6,T6.5,T7,T8,T9,T10
3339,0.265,0.159,0.249,0.314,0.327,0.24,0.604,,0.211,0.396,0.892,0.593
3342,0.269,1.21,0.191,0.261,0.211,0.159,0.325,,0.0718,0.265,0.544,0.733
3346,0.268,0.111,0.192,0.233,0.404,0.272,0.271,,0.357,0.135,0.529,1.41
3349,0.215,0.153,0.245,0.308,0.425,0.246,0.405,,0.159,0.161,0.473,2.04
3335,0.303,0.16,0.222,0.589,0.453,0.355,0.149,,0.174,0,0.543,0.472
3340,0.469,0.0823,0.164,0.17,0.275,0.229,1.04,,0.185,0.137,0.619,0.548
3350,1.52,0.117,0.232,0.258,0.667,0.285,0.346,,0.494,1.09,0.694,1.64
3334,0.293,0.131,0.196,0.244,0.24,0.395,9.72,61.2,,,,
3336,0.215,0.383,0.45,0.438,0.788,0.406,8.92,22.7,38.2,,,
3338,0.241,0.271,1.76,13.7,57.5,,,,,,,
3341,0.0958,0.133,0.494,0.684,1.47,4.9,39,,,,,
3357,0.214,0.159,2.63,21.6,35.6,,,,,,,
3368,0.535,0.229,0.405,0.386,1.47,0.257,0.954,,0.424,0.629,0.399,0.853
3370,0.512,0.43,0.3,0.3,0.805,0.135,,,0.922,0.37,0.652,16.7
2684,,,,3.12,4.54,49.3,,,,,,
2685,,,,1.03,0.0653,2.01,0.725,,,,,
2686,,,,2.52,0.323,0.9,4.54,,,,,
2709,,,,1.98,0.694,0.407,3.74,,,,,
2718,,,,1.53,1.41,7.55,67.2,,,,,
2690,,,,65.8,,,,,,,,
2708,,,,53.7,,,,,,,,
2719,,,,81.4,,,,,,,,
2683,,,,0.734,0.447,0.162,0.198,,,,,
2689,,,,1.71,1.1,0.339,0.169,,,,,
2692,,,,1.02,0.413,0.27,0.127,,,,,
2700,,,,1.62,0.624,0.285,0.33,,,,,
2702,,,,1.31,1.57,0.263,0.306,,,,,
2705,,,,1.65,0.459,0.187,0.261,,,,,
2720,,,,1.31,0.877,0.188,0.124,,,,,
